kode_mk,nama_mk,minggu,materi,pustaka_tersedia,bab
TSI1107,Agama,11/16,"Ayat/teks suci tentang ilmu, kewajiban belajar sepanjang hayat","P1 = Al-Qur'an dan Terjemahnya (Kementerian Agama RI) / Kitab Suc | P2 = Tim Dosen Agama ITEKES Bintang Persada. (2026). Buku Ajar Pe | P3 = Rahardjo, M. D. (2012). Pendidikan agama Islam di perguruan  | P4 = Azra, A. (2015). Pendidikan agama dan pluralisme. Kencana. | P5 = Shihab, M. Q. (2017). Wawasan Al-Qur'an. Mizan. | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1107,Agama,12/16,"Etika teknologi, pemanfaatan teknologi informasi untuk kebaikan","P1 = Al-Qur'an dan Terjemahnya (Kementerian Agama RI) / Kitab Suc | P2 = Tim Dosen Agama ITEKES Bintang Persada. (2026). Buku Ajar Pe | P3 = Rahardjo, M. D. (2012). Pendidikan agama Islam di perguruan  | P4 = Azra, A. (2015). Pendidikan agama dan pluralisme. Kencana. | P5 = Shihab, M. Q. (2017). Wawasan Al-Qur'an. Mizan. | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1107,Agama,13/16,"Agama dan Pancasila, agama dan nasionalisme","P1 = Al-Qur'an dan Terjemahnya (Kementerian Agama RI) / Kitab Suc | P2 = Tim Dosen Agama ITEKES Bintang Persada. (2026). Buku Ajar Pe | P3 = Rahardjo, M. D. (2012). Pendidikan agama Islam di perguruan  | P4 = Azra, A. (2015). Pendidikan agama dan pluralisme. Kencana. | P5 = Shihab, M. Q. (2017). Wawasan Al-Qur'an. Mizan. | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1107,Agama,14/16,"Kepemimpinan etis, kepemimpinan pelayanan, keadilan","P1 = Al-Qur'an dan Terjemahnya (Kementerian Agama RI) / Kitab Suc | P2 = Tim Dosen Agama ITEKES Bintang Persada. (2026). Buku Ajar Pe | P3 = Rahardjo, M. D. (2012). Pendidikan agama Islam di perguruan  | P4 = Azra, A. (2015). Pendidikan agama dan pluralisme. Kencana. | P5 = Shihab, M. Q. (2017). Wawasan Al-Qur'an. Mizan. | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1107,Agama,15/16,"Isu moderasi beragama, intoleransi, radikalisme, dan kerukunan","P1 = Al-Qur'an dan Terjemahnya (Kementerian Agama RI) / Kitab Suc | P2 = Tim Dosen Agama ITEKES Bintang Persada. (2026). Buku Ajar Pe | P3 = Rahardjo, M. D. (2012). Pendidikan agama Islam di perguruan  | P4 = Azra, A. (2015). Pendidikan agama dan pluralisme. Kencana. | P5 = Shihab, M. Q. (2017). Wawasan Al-Qur'an. Mizan. | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1107,Agama,16/16,"Seluruh materi (etos kerja, kewajiban menuntut ilmu, peran agama dalam bernegara, hasil presentasi)","P1 = Al-Qur'an dan Terjemahnya (Kementerian Agama RI) / Kitab Suc | P2 = Tim Dosen Agama ITEKES Bintang Persada. (2026). Buku Ajar Pe | P3 = Rahardjo, M. D. (2012). Pendidikan agama Islam di perguruan  | P4 = Azra, A. (2015). Pendidikan agama dan pluralisme. Kencana. | P5 = Shihab, M. Q. (2017). Wawasan Al-Qur'an. Mizan. | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1108,Bahasa Indonesia,1/16,"Sejarah bahasa Indonesia, Sumpah Pemuda, fungsi bahasa nasional dan bahasa negara","P1 = Kementerian Pendidikan dan Kebudayaan. (2016). Pedoman Umum  | P2 = Dalman, H. (2019). Keterampilan Menulis (Edisi Revisi). Raja | P3 = Keraf, G. (2010). Argumentasi dan Narasi. Gramedia Pustaka U | P4 = Chaer, A. (2015). Tata Bahasa Praktis Bahasa Indonesia. Rine | P5 = Widjono, H. S. (2018). Bahasa Indonesia: Mata Kuliah Pengemb | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1108,Bahasa Indonesia,2/16,"Ragam lisan dan tulis, ragam formal dan nonformal, ciri ragam ilmiah","P1 = Kementerian Pendidikan dan Kebudayaan. (2016). Pedoman Umum  | P2 = Dalman, H. (2019). Keterampilan Menulis (Edisi Revisi). Raja | P3 = Keraf, G. (2010). Argumentasi dan Narasi. Gramedia Pustaka U | P4 = Chaer, A. (2015). Tata Bahasa Praktis Bahasa Indonesia. Rine | P5 = Widjono, H. S. (2018). Bahasa Indonesia: Mata Kuliah Pengemb | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1108,Bahasa Indonesia,3/16,"Pedoman EBI, penggunaan huruf, penulisan kata, tanda baca (titik, koma, titik dua, dll)","P1 = Kementerian Pendidikan dan Kebudayaan. (2016). Pedoman Umum  | P2 = Dalman, H. (2019). Keterampilan Menulis (Edisi Revisi). Raja | P3 = Keraf, G. (2010). Argumentasi dan Narasi. Gramedia Pustaka U | P4 = Chaer, A. (2015). Tata Bahasa Praktis Bahasa Indonesia. Rine | P5 = Widjono, H. S. (2018). Bahasa Indonesia: Mata Kuliah Pengemb | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1108,Bahasa Indonesia,4/16,"Ciri kalimat efektif (kesepadanan, kehematan, kelogisan), paragraf deduktif-induktif, transisi","P1 = Kementerian Pendidikan dan Kebudayaan. (2016). Pedoman Umum  | P2 = Dalman, H. (2019). Keterampilan Menulis (Edisi Revisi). Raja | P3 = Keraf, G. (2010). Argumentasi dan Narasi. Gramedia Pustaka U | P4 = Chaer, A. (2015). Tata Bahasa Praktis Bahasa Indonesia. Rine | P5 = Widjono, H. S. (2018). Bahasa Indonesia: Mata Kuliah Pengemb | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
