kode_mk,nama_mk,minggu,materi,pustaka_tersedia,bab
TSI1109,Pancasila,9/16,"Etika Pancasila, moral, karakter, integritas","P1 = Kaelan. (2017). Pendidikan Pancasila. Paradigma. | P2 = Tim Dosen Pancasila ITEKES Bintang Persada. (2026). Buku Aja | P3 = Notonagoro. (2018). Pancasila secara ilmiah populer. Penerbi | P4 = Sukarno. (2019). Lahirnya Pancasila. Penerbit Media Pressind | P5 = Yudi Latif. (2015). Negara paripurna: Historisitas, rasional | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1109,Pancasila,10/16,"Krisis moral, relevansi Pancasila, pendidikan karakter","P1 = Kaelan. (2017). Pendidikan Pancasila. Paradigma. | P2 = Tim Dosen Pancasila ITEKES Bintang Persada. (2026). Buku Aja | P3 = Notonagoro. (2018). Pancasila secara ilmiah populer. Penerbi | P4 = Sukarno. (2019). Lahirnya Pancasila. Penerbit Media Pressind | P5 = Yudi Latif. (2015). Negara paripurna: Historisitas, rasional | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1109,Pancasila,11/16,"Pancasila dan etika ilmiah, tanggung jawab sosial peneliti","P1 = Kaelan. (2017). Pendidikan Pancasila. Paradigma. | P2 = Tim Dosen Pancasila ITEKES Bintang Persada. (2026). Buku Aja | P3 = Notonagoro. (2018). Pancasila secara ilmiah populer. Penerbi | P4 = Sukarno. (2019). Lahirnya Pancasila. Penerbit Media Pressind | P5 = Yudi Latif. (2015). Negara paripurna: Historisitas, rasional | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1109,Pancasila,12/16,"Plagiarisme, kolaborasi, keadilan, manfaat bagi masyarakat","P1 = Kaelan. (2017). Pendidikan Pancasila. Paradigma. | P2 = Tim Dosen Pancasila ITEKES Bintang Persada. (2026). Buku Aja | P3 = Notonagoro. (2018). Pancasila secara ilmiah populer. Penerbi | P4 = Sukarno. (2019). Lahirnya Pancasila. Penerbit Media Pressind | P5 = Yudi Latif. (2015). Negara paripurna: Historisitas, rasional | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1109,Pancasila,13/16,"Pengertian korupsi, penyebab, pencegahan, pendidikan anti korupsi","P1 = Kaelan. (2017). Pendidikan Pancasila. Paradigma. | P2 = Tim Dosen Pancasila ITEKES Bintang Persada. (2026). Buku Aja | P3 = Notonagoro. (2018). Pancasila secara ilmiah populer. Penerbi | P4 = Sukarno. (2019). Lahirnya Pancasila. Penerbit Media Pressind | P5 = Yudi Latif. (2015). Negara paripurna: Historisitas, rasional | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1109,Pancasila,14/16,"Topik: Pancasila dan media sosial, kebebasan berpendapat, hoaks, etika digital","P1 = Kaelan. (2017). Pendidikan Pancasila. Paradigma. | P2 = Tim Dosen Pancasila ITEKES Bintang Persada. (2026). Buku Aja | P3 = Notonagoro. (2018). Pancasila secara ilmiah populer. Penerbi | P4 = Sukarno. (2019). Lahirnya Pancasila. Penerbit Media Pressind | P5 = Yudi Latif. (2015). Negara paripurna: Historisitas, rasional | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1109,Pancasila,15/16,"Presentasi hasil makalah, diskusi","P1 = Kaelan. (2017). Pendidikan Pancasila. Paradigma. | P2 = Tim Dosen Pancasila ITEKES Bintang Persada. (2026). Buku Aja | P3 = Notonagoro. (2018). Pancasila secara ilmiah populer. Penerbi | P4 = Sukarno. (2019). Lahirnya Pancasila. Penerbit Media Pressind | P5 = Yudi Latif. (2015). Negara paripurna: Historisitas, rasional | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1109,Pancasila,16/16,"Seluruh materi (etika, anti korupsi, paradigma IPTEK, presentasi)","P1 = Kaelan. (2017). Pendidikan Pancasila. Paradigma. | P2 = Tim Dosen Pancasila ITEKES Bintang Persada. (2026). Buku Aja | P3 = Notonagoro. (2018). Pancasila secara ilmiah populer. Penerbi | P4 = Sukarno. (2019). Lahirnya Pancasila. Penerbit Media Pressind | P5 = Yudi Latif. (2015). Negara paripurna: Historisitas, rasional | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3101,Computational Thinking,1/16,"Apa itu CT, perbedaan dengan pemrograman, sejarah CT (Jeanette Wing)","P1 = Wing, J. M. (2006). Computational thinking. Communications o | P2 = Cormen, T. H. (2013). Algorithms unlocked. MIT Press. | P3 = Curzon, P., & McOwan, P. W. (2017). The power of computation | P4 = Google for Education. (2015). Exploring computational thinki | P5 = Bell, T., Witten, I. H., & Fellows, M. (2018). CS Unplugged: | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3101,Computational Thinking,2/16,"Contoh CT dalam kehidupan sehari-hari, pengambilan keputusan","P1 = Wing, J. M. (2006). Computational thinking. Communications o | P2 = Cormen, T. H. (2013). Algorithms unlocked. MIT Press. | P3 = Curzon, P., & McOwan, P. W. (2017). The power of computation | P4 = Google for Education. (2015). Exploring computational thinki | P5 = Bell, T., Witten, I. H., & Fellows, M. (2018). CS Unplugged: | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3101,Computational Thinking,3/16,"Teknik dekomposisi, studi kasus: merencanakan liburan, membangun aplikasi","P1 = Wing, J. M. (2006). Computational thinking. Communications o | P2 = Cormen, T. H. (2013). Algorithms unlocked. MIT Press. | P3 = Curzon, P., & McOwan, P. W. (2017). The power of computation | P4 = Google for Education. (2015). Exploring computational thinki | P5 = Bell, T., Witten, I. H., & Fellows, M. (2018). CS Unplugged: | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3101,Computational Thinking,4/16,"Pola dalam data numerik, teks, gambar; contoh: pola cuaca, pola belanja","P1 = Wing, J. M. (2006). Computational thinking. Communications o | P2 = Cormen, T. H. (2013). Algorithms unlocked. MIT Press. | P3 = Curzon, P., & McOwan, P. W. (2017). The power of computation | P4 = Google for Education. (2015). Exploring computational thinki | P5 = Bell, T., Witten, I. H., & Fellows, M. (2018). CS Unplugged: | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3101,Computational Thinking,5/16,"Abstraksi data, abstraksi proses, contoh: peta, model","P1 = Wing, J. M. (2006). Computational thinking. Communications o | P2 = Cormen, T. H. (2013). Algorithms unlocked. MIT Press. | P3 = Curzon, P., & McOwan, P. W. (2017). The power of computation | P4 = Google for Education. (2015). Exploring computational thinki | P5 = Bell, T., Witten, I. H., & Fellows, M. (2018). CS Unplugged: | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3101,Computational Thinking,6/16,"Notasi algoritma, struktur kontrol (sekuensial, percabangan, perulangan)","P1 = Wing, J. M. (2006). Computational thinking. Communications o | P2 = Cormen, T. H. (2013). Algorithms unlocked. MIT Press. | P3 = Curzon, P., & McOwan, P. W. (2017). The power of computation | P4 = Google for Education. (2015). Exploring computational thinki | P5 = Bell, T., Witten, I. H., & Fellows, M. (2018). CS Unplugged: | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3101,Computational Thinking,7/16,"Sequential search, binary search, bubble sort, selection sort","P1 = Wing, J. M. (2006). Computational thinking. Communications o | P2 = Cormen, T. H. (2013). Algorithms unlocked. MIT Press. | P3 = Curzon, P., & McOwan, P. W. (2017). The power of computation | P4 = Google for Education. (2015). Exploring computational thinki | P5 = Bell, T., Witten, I. H., & Fellows, M. (2018). CS Unplugged: | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3101,Computational Thinking,8/16,Materi Minggu 1–7,"P1 = Wing, J. M. (2006). Computational thinking. Communications o | P2 = Cormen, T. H. (2013). Algorithms unlocked. MIT Press. | P3 = Curzon, P., & McOwan, P. W. (2017). The power of computation | P4 = Google for Education. (2015). Exploring computational thinki | P5 = Bell, T., Witten, I. H., & Fellows, M. (2018). CS Unplugged: | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3101,Computational Thinking,9/16,"Notasi Big O, analisis algoritma linear vs logaritmik","P1 = Wing, J. M. (2006). Computational thinking. Communications o | P2 = Cormen, T. H. (2013). Algorithms unlocked. MIT Press. | P3 = Curzon, P., & McOwan, P. W. (2017). The power of computation | P4 = Google for Education. (2015). Exploring computational thinki | P5 = Bell, T., Witten, I. H., & Fellows, M. (2018). CS Unplugged: | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3101,Computational Thinking,10/16,"Pencarian data pada tabel, indexing, hashing","P1 = Wing, J. M. (2006). Computational thinking. Communications o | P2 = Cormen, T. H. (2013). Algorithms unlocked. MIT Press. | P3 = Curzon, P., & McOwan, P. W. (2017). The power of computation | P4 = Google for Education. (2015). Exploring computational thinki | P5 = Bell, T., Witten, I. H., & Fellows, M. (2018). CS Unplugged: | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3101,Computational Thinking,11/16,"Decision tree, algoritma rekomendasi sederhana","P1 = Wing, J. M. (2006). Computational thinking. Communications o | P2 = Cormen, T. H. (2013). Algorithms unlocked. MIT Press. | P3 = Curzon, P., & McOwan, P. W. (2017). The power of computation | P4 = Google for Education. (2015). Exploring computational thinki | P5 = Bell, T., Witten, I. H., & Fellows, M. (2018). CS Unplugged: | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3101,Computational Thinking,12/16,"Dasar Python, implementasi algoritma pencarian","P1 = Wing, J. M. (2006). Computational thinking. Communications o | P2 = Cormen, T. H. (2013). Algorithms unlocked. MIT Press. | P3 = Curzon, P., & McOwan, P. W. (2017). The power of computation | P4 = Google for Education. (2015). Exploring computational thinki | P5 = Bell, T., Witten, I. H., & Fellows, M. (2018). CS Unplugged: | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3101,Computational Thinking,13/16,"Kasus: optimalisasi rute, penjadwalan, alokasi sumber daya","P1 = Wing, J. M. (2006). Computational thinking. Communications o | P2 = Cormen, T. H. (2013). Algorithms unlocked. MIT Press. | P3 = Curzon, P., & McOwan, P. W. (2017). The power of computation | P4 = Google for Education. (2015). Exploring computational thinki | P5 = Bell, T., Witten, I. H., & Fellows, M. (2018). CS Unplugged: | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3101,Computational Thinking,14/16,"Struktur laporan, analisis solusi","P1 = Wing, J. M. (2006). Computational thinking. Communications o | P2 = Cormen, T. H. (2013). Algorithms unlocked. MIT Press. | P3 = Curzon, P., & McOwan, P. W. (2017). The power of computation | P4 = Google for Education. (2015). Exploring computational thinki | P5 = Bell, T., Witten, I. H., & Fellows, M. (2018). CS Unplugged: | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3101,Computational Thinking,15/16,"Slide presentasi, demonstrasi solusi","P1 = Wing, J. M. (2006). Computational thinking. Communications o | P2 = Cormen, T. H. (2013). Algorithms unlocked. MIT Press. | P3 = Curzon, P., & McOwan, P. W. (2017). The power of computation | P4 = Google for Education. (2015). Exploring computational thinki | P5 = Bell, T., Witten, I. H., & Fellows, M. (2018). CS Unplugged: | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3101,Computational Thinking,16/16,"Seluruh materi (dekomposisi, pola, abstraksi, algoritma, studi kasus)","P1 = Wing, J. M. (2006). Computational thinking. Communications o | P2 = Cormen, T. H. (2013). Algorithms unlocked. MIT Press. | P3 = Curzon, P., & McOwan, P. W. (2017). The power of computation | P4 = Google for Education. (2015). Exploring computational thinki | P5 = Bell, T., Witten, I. H., & Fellows, M. (2018). CS Unplugged: | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3102,Sistem Basis Data,1/16,"Data vs informasi, basis data, DBMS (fungsi, keuntungan), arsitektur ANSI-SPARC (eksternal, konseptual, internal)","P1 = Elmasri, R., & Navathe, S. B. (2016). Fundamentals of Databa | P2 = Connolly, T., & Begg, C. (2015). Database Systems: A Practic | P3 = Date, C. J. (2019). An Introduction to Database Systems (8th | P4 = Silberschatz, A., Korth, H. F., & Sudarshan, S. (2019). Data | P5 = Ramakrishnan, R., & Gehrke, J. (2003). Database Management S | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3102,Sistem Basis Data,2/16,"Model data hierarkis (IMS), jaringan (CODASYL), relasional (Codd), objek-relasional, NoSQL","P1 = Elmasri, R., & Navathe, S. B. (2016). Fundamentals of Databa | P2 = Connolly, T., & Begg, C. (2015). Database Systems: A Practic | P3 = Date, C. J. (2019). An Introduction to Database Systems (8th | P4 = Silberschatz, A., Korth, H. F., & Sudarshan, S. (2019). Data | P5 = Ramakrishnan, R., & Gehrke, J. (2003). Database Management S | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3102,Sistem Basis Data,3/16,"Entitas kuat/lemah, atribut (sederhana, komposit, multinilai, turunan), relasi (1:1, 1:N, M:N), kardinalitas","P1 = Elmasri, R., & Navathe, S. B. (2016). Fundamentals of Databa | P2 = Connolly, T., & Begg, C. (2015). Database Systems: A Practic | P3 = Date, C. J. (2019). An Introduction to Database Systems (8th | P4 = Silberschatz, A., Korth, H. F., & Sudarshan, S. (2019). Data | P5 = Ramakrishnan, R., & Gehrke, J. (2003). Database Management S | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3102,Sistem Basis Data,4/16,"Anomali (insert, update, delete), ketergantungan fungsional, 1NF (atomic), 2NF (tanpa partial dependency), 3NF (tanpa transitive dependency)","P1 = Elmasri, R., & Navathe, S. B. (2016). Fundamentals of Databa | P2 = Connolly, T., & Begg, C. (2015). Database Systems: A Practic | P3 = Date, C. J. (2019). An Introduction to Database Systems (8th | P4 = Silberschatz, A., Korth, H. F., & Sudarshan, S. (2019). Data | P5 = Ramakrishnan, R., & Gehrke, J. (2003). Database Management S | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3102,Sistem Basis Data,5/16,"CREATE DATABASE, CREATE TABLE (tipe data, constraints: NOT NULL, UNIQUE, PRIMARY KEY, FOREIGN KEY), ALTER, DROP","P1 = Elmasri, R., & Navathe, S. B. (2016). Fundamentals of Databa | P2 = Connolly, T., & Begg, C. (2015). Database Systems: A Practic | P3 = Date, C. J. (2019). An Introduction to Database Systems (8th | P4 = Silberschatz, A., Korth, H. F., & Sudarshan, S. (2019). Data | P5 = Ramakrishnan, R., & Gehrke, J. (2003). Database Management S | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3102,Sistem Basis Data,6/16,"INSERT (single, multiple), UPDATE, DELETE, SELECT sederhana (WHERE, ORDER BY, LIMIT)","P1 = Elmasri, R., & Navathe, S. B. (2016). Fundamentals of Databa | P2 = Connolly, T., & Begg, C. (2015). Database Systems: A Practic | P3 = Date, C. J. (2019). An Introduction to Database Systems (8th | P4 = Silberschatz, A., Korth, H. F., & Sudarshan, S. (2019). Data | P5 = Ramakrishnan, R., & Gehrke, J. (2003). Database Management S | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3102,Sistem Basis Data,7/16,"INNER JOIN, LEFT/RIGHT JOIN, SELF JOIN; subquery di WHERE/FROM/SELECT; fungsi agregat (COUNT, SUM, AVG, MIN, MAX), GROUP BY, HAVING","P1 = Elmasri, R., & Navathe, S. B. (2016). Fundamentals of Databa | P2 = Connolly, T., & Begg, C. (2015). Database Systems: A Practic | P3 = Date, C. J. (2019). An Introduction to Database Systems (8th | P4 = Silberschatz, A., Korth, H. F., & Sudarshan, S. (2019). Data | P5 = Ramakrishnan, R., & Gehrke, J. (2003). Database Management S | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3102,Sistem Basis Data,8/16,Materi Minggu 1-7,"P1 = Elmasri, R., & Navathe, S. B. (2016). Fundamentals of Databa | P2 = Connolly, T., & Begg, C. (2015). Database Systems: A Practic | P3 = Date, C. J. (2019). An Introduction to Database Systems (8th | P4 = Silberschatz, A., Korth, H. F., & Sudarshan, S. (2019). Data | P5 = Ramakrishnan, R., & Gehrke, J. (2003). Database Management S | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3102,Sistem Basis Data,9/16,"Transaksi (BEGIN, COMMIT, ROLLBACK), sifat ACID, jadwal, serializability, locking (shared, exclusive), deadlock","P1 = Elmasri, R., & Navathe, S. B. (2016). Fundamentals of Databa | P2 = Connolly, T., & Begg, C. (2015). Database Systems: A Practic | P3 = Date, C. J. (2019). An Introduction to Database Systems (8th | P4 = Silberschatz, A., Korth, H. F., & Sudarshan, S. (2019). Data | P5 = Ramakrishnan, R., & Gehrke, J. (2003). Database Management S | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3102,Sistem Basis Data,10/16,"User management (CREATE USER), privilege (GRANT, REVOKE), role, view untuk keamanan","P1 = Elmasri, R., & Navathe, S. B. (2016). Fundamentals of Databa | P2 = Connolly, T., & Begg, C. (2015). Database Systems: A Practic | P3 = Date, C. J. (2019). An Introduction to Database Systems (8th | P4 = Silberschatz, A., Korth, H. F., & Sudarshan, S. (2019). Data | P5 = Ramakrishnan, R., & Gehrke, J. (2003). Database Management S | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3102,Sistem Basis Data,11/16,"Integritas domain, entitas, referensial; CHECK, DEFAULT; trigger (BEFORE/AFTER INSERT/UPDATE/DELETE)","P1 = Elmasri, R., & Navathe, S. B. (2016). Fundamentals of Databa | P2 = Connolly, T., & Begg, C. (2015). Database Systems: A Practic | P3 = Date, C. J. (2019). An Introduction to Database Systems (8th | P4 = Silberschatz, A., Korth, H. F., & Sudarshan, S. (2019). Data | P5 = Ramakrishnan, R., & Gehrke, J. (2003). Database Management S | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3102,Sistem Basis Data,12/16,"Jenis backup (full, incremental, differential), tools (mysqldump, pg_dump), restore, point-in-time recovery","P1 = Elmasri, R., & Navathe, S. B. (2016). Fundamentals of Databa | P2 = Connolly, T., & Begg, C. (2015). Database Systems: A Practic | P3 = Date, C. J. (2019). An Introduction to Database Systems (8th | P4 = Silberschatz, A., Korth, H. F., & Sudarshan, S. (2019). Data | P5 = Ramakrishnan, R., & Gehrke, J. (2003). Database Management S | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3102,Sistem Basis Data,13/16,"JDBC/ODBC, driver, connection string, execute query, result set, prepared statement","P1 = Elmasri, R., & Navathe, S. B. (2016). Fundamentals of Databa | P2 = Connolly, T., & Begg, C. (2015). Database Systems: A Practic | P3 = Date, C. J. (2019). An Introduction to Database Systems (8th | P4 = Silberschatz, A., Korth, H. F., & Sudarshan, S. (2019). Data | P5 = Ramakrishnan, R., & Gehrke, J. (2003). Database Management S | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3102,Sistem Basis Data,14/16,"Analisis kebutuhan, ERD, normalisasi, implementasi DDL","P1 = Elmasri, R., & Navathe, S. B. (2016). Fundamentals of Databa | P2 = Connolly, T., & Begg, C. (2015). Database Systems: A Practic | P3 = Date, C. J. (2019). An Introduction to Database Systems (8th | P4 = Silberschatz, A., Korth, H. F., & Sudarshan, S. (2019). Data | P5 = Ramakrishnan, R., & Gehrke, J. (2003). Database Management S | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3102,Sistem Basis Data,15/16,"Pembuatan database, pengisian data, query laporan, dokumentasi","P1 = Elmasri, R., & Navathe, S. B. (2016). Fundamentals of Databa | P2 = Connolly, T., & Begg, C. (2015). Database Systems: A Practic | P3 = Date, C. J. (2019). An Introduction to Database Systems (8th | P4 = Silberschatz, A., Korth, H. F., & Sudarshan, S. (2019). Data | P5 = Ramakrishnan, R., & Gehrke, J. (2003). Database Management S | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3102,Sistem Basis Data,16/16,Seluruh materi (minggu 1-15),"P1 = Elmasri, R., & Navathe, S. B. (2016). Fundamentals of Databa | P2 = Connolly, T., & Begg, C. (2015). Database Systems: A Practic | P3 = Date, C. J. (2019). An Introduction to Database Systems (8th | P4 = Silberschatz, A., Korth, H. F., & Sudarshan, S. (2019). Data | P5 = Ramakrishnan, R., & Gehrke, J. (2003). Database Management S | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3103,Konsep Sistem Informasi,1/16,"Definisi data, informasi, sistem; karakteristik sistem; contoh sistem informasi","P1 = Laudon, K. C., & Laudon, J. P. (2020). Management Informatio | P2 = O'Brien, J. A., & Marakas, G. M. (2017). Introduction to Inf | P3 = Stair, R. M., & Reynolds, G. W. (2020). Principles of Inform | P4 = Turban, E., Pollard, C., & Wood, G. (2018). Information Tech | P5 = Alter, S. (2016). Information Systems: A Management Perspect | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3103,Konsep Sistem Informasi,2/16,"Komponen SI: hardware, software, data, prosedur, sumber daya manusia","P1 = Laudon, K. C., & Laudon, J. P. (2020). Management Informatio | P2 = O'Brien, J. A., & Marakas, G. M. (2017). Introduction to Inf | P3 = Stair, R. M., & Reynolds, G. W. (2020). Principles of Inform | P4 = Turban, E., Pollard, C., & Wood, G. (2018). Information Tech | P5 = Alter, S. (2016). Information Systems: A Management Perspect | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3103,Konsep Sistem Informasi,3/16,"Jenis SI berdasarkan level manajemen (operasional, taktis, strategis); contoh aplikasi","P1 = Laudon, K. C., & Laudon, J. P. (2020). Management Informatio | P2 = O'Brien, J. A., & Marakas, G. M. (2017). Introduction to Inf | P3 = Stair, R. M., & Reynolds, G. W. (2020). Principles of Inform | P4 = Turban, E., Pollard, C., & Wood, G. (2018). Information Tech | P5 = Alter, S. (2016). Information Systems: A Management Perspect | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3103,Konsep Sistem Informasi,4/16,"CPU, memori, storage, I/O; sistem operasi, aplikasi, bahasa pemrograman","P1 = Laudon, K. C., & Laudon, J. P. (2020). Management Informatio | P2 = O'Brien, J. A., & Marakas, G. M. (2017). Introduction to Inf | P3 = Stair, R. M., & Reynolds, G. W. (2020). Principles of Inform | P4 = Turban, E., Pollard, C., & Wood, G. (2018). Information Tech | P5 = Alter, S. (2016). Information Systems: A Management Perspect | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3103,Konsep Sistem Informasi,5/16,"LAN, WAN, internet, cloud; konsep basis data, DBMS, SQL dasar","P1 = Laudon, K. C., & Laudon, J. P. (2020). Management Informatio | P2 = O'Brien, J. A., & Marakas, G. M. (2017). Introduction to Inf | P3 = Stair, R. M., & Reynolds, G. W. (2020). Principles of Inform | P4 = Turban, E., Pollard, C., & Wood, G. (2018). Information Tech | P5 = Alter, S. (2016). Information Systems: A Management Perspect | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3103,Konsep Sistem Informasi,6/16,"Waterfall, prototyping, agile; peran analis sistem","P1 = Laudon, K. C., & Laudon, J. P. (2020). Management Informatio | P2 = O'Brien, J. A., & Marakas, G. M. (2017). Introduction to Inf | P3 = Stair, R. M., & Reynolds, G. W. (2020). Principles of Inform | P4 = Turban, E., Pollard, C., & Wood, G. (2018). Information Tech | P5 = Alter, S. (2016). Information Systems: A Management Perspect | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3103,Konsep Sistem Informasi,7/16,"Contoh kasus: sistem informasi perpustakaan, penjualan, akademik","P1 = Laudon, K. C., & Laudon, J. P. (2020). Management Informatio | P2 = O'Brien, J. A., & Marakas, G. M. (2017). Introduction to Inf | P3 = Stair, R. M., & Reynolds, G. W. (2020). Principles of Inform | P4 = Turban, E., Pollard, C., & Wood, G. (2018). Information Tech | P5 = Alter, S. (2016). Information Systems: A Management Perspect | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3103,Konsep Sistem Informasi,8/16,Materi Minggu 1-7,"P1 = Laudon, K. C., & Laudon, J. P. (2020). Management Informatio | P2 = O'Brien, J. A., & Marakas, G. M. (2017). Introduction to Inf | P3 = Stair, R. M., & Reynolds, G. W. (2020). Principles of Inform | P4 = Turban, E., Pollard, C., & Wood, G. (2018). Information Tech | P5 = Alter, S. (2016). Information Systems: A Management Perspect | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3103,Konsep Sistem Informasi,9/16,"Teknik elicitation, studi kelayakan, requirement specification","P1 = Laudon, K. C., & Laudon, J. P. (2020). Management Informatio | P2 = O'Brien, J. A., & Marakas, G. M. (2017). Introduction to Inf | P3 = Stair, R. M., & Reynolds, G. W. (2020). Principles of Inform | P4 = Turban, E., Pollard, C., & Wood, G. (2018). Information Tech | P5 = Alter, S. (2016). Information Systems: A Management Perspect | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3103,Konsep Sistem Informasi,10/16,"Ancaman (malware, hacking, phising), kontrol akses, backup, disaster recovery","P1 = Laudon, K. C., & Laudon, J. P. (2020). Management Informatio | P2 = O'Brien, J. A., & Marakas, G. M. (2017). Introduction to Inf | P3 = Stair, R. M., & Reynolds, G. W. (2020). Principles of Inform | P4 = Turban, E., Pollard, C., & Wood, G. (2018). Information Tech | P5 = Alter, S. (2016). Information Systems: A Management Perspect | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3103,Konsep Sistem Informasi,11/16,"Enkripsi, otentikasi, UU ITE, UU PDP, etika hacking","P1 = Laudon, K. C., & Laudon, J. P. (2020). Management Informatio | P2 = O'Brien, J. A., & Marakas, G. M. (2017). Introduction to Inf | P3 = Stair, R. M., & Reynolds, G. W. (2020). Principles of Inform | P4 = Turban, E., Pollard, C., & Wood, G. (2018). Information Tech | P5 = Alter, S. (2016). Information Systems: A Management Perspect | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3103,Konsep Sistem Informasi,12/16,"Kode etik ACM/IEEE, APTIKOM, tanggung jawab sosial, HKI","P1 = Laudon, K. C., & Laudon, J. P. (2020). Management Informatio | P2 = O'Brien, J. A., & Marakas, G. M. (2017). Introduction to Inf | P3 = Stair, R. M., & Reynolds, G. W. (2020). Principles of Inform | P4 = Turban, E., Pollard, C., & Wood, G. (2018). Information Tech | P5 = Alter, S. (2016). Information Systems: A Management Perspect | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
